canonical_name,display_name,record_count,sources_found_in,likely_status
other customer,Other Customer,2,certs_2025_all | excel_cp_invoices_2024 | excel_credit_memos | excel_location_completed | excel_rental_bv | excel_rental_items | excel_rental_swppp_numbers | excel_swppp_bv,UNKNOWN
mo25,MO25,2,excel_credit_memos | excel_swppp_bv,UNKNOWN
ndccm,NDCCM,2,certs_2025_all | excel_rental_bv,UNKNOWN
mclaughlin sons,Mclaughlin & Sons,2,certs_2025_all | excel_location_completed | excel_rental_bv,UNKNOWN
iron clad,Iron  Clad Construction,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
monza,Monza,2,excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
young swenson cross,Young Swenson & Cross,2,excel_rental_bv,UNKNOWN
sun coast,Sun Coast Builders,2,certs_2025_all | excel_location_completed | excel_location_uploads | excel_rental_bv,UNKNOWN
southwest architectual,Southwest Architectual Builders,2,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
ms square,MS Square,2,certs_2025_all | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_swppp_need_schedule,UNKNOWN
azap general,AZAP General Contracting,2,certs_2025_all | excel_credit_memos | excel_rental_bv | excel_rental_swppp_numbers,UNKNOWN
killian western,Killian Western,2,certs_2025_all | excel_location_completed | excel_location_uploads | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
n e,N & E Construction,2,unknown,UNKNOWN
auauthumkidsquareconstruction1922361,AUAUTHUMKIDSQUARECONSTRUCTION1922361,2,certs_2025_all | certs_A,UNKNOWN
avalon,Avalon Development,2,certs_2025_all | excel_location_completed | excel_rental_bv | excel_rental_swppp_numbers | excel_swppp_bv | excel_wt_sw,UNKNOWN
bluepoint solutions was all pro sweeping,Bluepoint Solutions (Was All Pro Sweeping),2,excel_wt_sw,UNKNOWN
century complete need waivers,Century Complete                          (Need waivers),2,certs_2025_all | excel_credit_memos | excel_rental_swppp_numbers | excel_wt_sw,UNKNOWN
largo concrete in need job and po than email invoice to accounting,"Largo Concrete, IN        (Need Job and PO #) *****Than email invoice to accounting*****",2,certs_2025_all | excel_wt_sw,UNKNOWN
