canonical_name,display_name,record_count,qb_company_name,qb_customer_id,match_type
"mary lyn hammer is taking over 7-10-13 lustig company is taking this over as of 4-22-2013 old contractor iron clad construction","Mary Lyn Hammer is taking over 7-10-13. Lustig Company is taking this over as of 4-22-2013 (old contractor Iron Clad Construction)","1","","","NONE"
"ed west","ED West","1","","","NONE"
"aui","AUI","1","","","NONE"
"lps","LPS","1","","","NONE"
"signal peak contractors","Signal Peak Contractors","1","","","NONE"
"select","Select Development","1","","","NONE"
"adam miller","Adam Miller","1","","","NONE"
"kruger wes",""Kruger","1","","","NONE"
"torri custom homes","Torri Custom Homes","1","","","NONE"
"nitti graycor","Nitti Graycor","1","","","NONE"
"southand paving","Southand Paving","1","","","NONE"
"schaffer","Schaffer Construction","1","","","NONE"
"veritas","Veritas","1","","","NONE"
"j kopras homes","J Kopras Homes","1","","","NONE"
"restore 1","Restore 1","1","","","NONE"
"donavan john",""Donavan","1","","","NONE"
"gss","GSS","1","","","NONE"
"summit","Summit","1","","","NONE"
"construction management technology","Construction Management Technology","1","","","NONE"
"anthony goldapd",""Anthony Gold/APD","1","","","NONE"
"rk sanders","RK Sanders","1","","","NONE"
"ics switched billing to lky real estate fund iv lp",""ICS","1","","","NONE"
"charlie fine","Charlie Fine","1","","","NONE"
"je john","JE John","1","","","NONE"
"valwest","Valwest","1","","","NONE"
"perlo","Perlo","1","","","NONE"
"haworth- was bill to mhm until 8-8-16 then transferred to haworth","Haworth-  was bill to MHM until 8-8-16 then transferred to Haworth","1","","","NONE"
"haworth- was bill to mhm until 10-5-16 then transferred to haworth","Haworth-  was bill to MHM until 10-5-16 then transferred to Haworth","1","","","NONE"
"clg anthony gold","CLG/ Anthony Gold","1","","","NONE"
"accent contruction","Accent Contruction","1","","","NONE"
"mco and associates","MCO and Associates","1","","","NONE"
"chase pipeline","Chase Pipeline Construction","1","","","NONE"
"spurr","Spurr","1","","","NONE"
"southwest earthworks","Southwest Earthworks","1","Southwest Earthwork","Southwest Earthwork:2nd Ave Commons (140 W 2nd Ave)","STARTS_WITH"
"the school","The School Builder","1","","","NONE"
"ethos","Ethos Construction","1","","","NONE"
"woodruff","Woodruff Construction","1","","","NONE"
"seven foot","Seven Foot","1","Seven Foot Construction","Seven Foot Construction","STARTS_WITH"
"sharp creek","Sharp Creek","1","Sharp Creek Contracting","Sharp Creek Contracting","STARTS_WITH"
"povolny","Povolny Group","1","","","NONE"
"talon","Talon","1","","","NONE"
"steve julius","Steve Julius Construction","1","","","NONE"
"metal media","Metal Media","1","","","NONE"
"west glen villas","West Glen Villas","1","","","NONE"
"school","School Builder","1","","","NONE"
"shawmut design transferred from ar mays","Shawmut Design (transferred from AR Mays)","1","","","NONE"
"hospitality","Hospitality Builders","1","","","NONE"
"paul chavez","Paul Chavez","1","","","NONE"
"newman","Newman Builders","1","","","NONE"
"logos","Logos","1","","","NONE"
"kessler","Kessler Construction","1","","","NONE"
"texas alliance","Texas Alliance Group","1","","","NONE"
"valle luna","Valle Luna","1","","","NONE"
"image","Image Builders","1","","","NONE"
"calla","Calla Development","1","","","NONE"
"rpm","RPM","1","","","NONE"
"wes laphen","Wes Laphen","1","","","NONE"
"green street communities","Green Street Communities","1","","","NONE"
"rcds now under briston","RCDS now under Briston","1","","","NONE"
"roca verde design","Roca Verde Design","1","","","NONE"
"torri","Torri","1","","","NONE"
"form third- now billed to wilderness dtphx","Form Third- NOW BILLED TO Wilderness DTPHX","1","Form Third","Form Third","STARTS_WITH"
"arizona trench","Arizona Trench Co","1","","","NONE"
"rj gurley","RJ Gurley","1","RJ Gurley Construction","RJ Gurley Construction","STARTS_WITH"
"venue","Venue","1","","","NONE"
"interserve","InterServe","1","","","NONE"
"symmetry","Symmetry Builders","1","Symmetry Builders Corp","Symmetry Builders Corp","STARTS_WITH"
"arizona interior innovations","Arizona Interior Innovations","1","","","NONE"
"orsett properties jeff scott","Orsett Properties (Jeff Scott)","1","","","NONE"
"rh dupper landscaping","RH Dupper Landscaping","1","","","NONE"
"bk design","BK Design Inc.","1","BK Design Inc.","BK Design Inc.","EXACT"
"calcon","Calcon","1","Calcon Constructors","Calcon Constructors","STARTS_WITH"
"pwi slc","PWI SLC LLC","1","","","NONE"
"brendon weak","Brendon Weak","1","","","NONE"
"syla ermal ge ventures","Syla Ermal (GE Ventures)","1","","","NONE"
"ethically built","Ethically Built","1","","","NONE"
"mike maguire","Mike Maguire","1","","","NONE"
"katerra now - wolff","Katerra/ Now - Wolff","1","","","NONE"
